"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 10:44:15 GMT 2021","Wed Aug 18 10:45:16 GMT 2021","60327","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","repeatedDataInputTest()",""
"passed","Wed Aug 18 10:43:57 GMT 2021","Wed Aug 18 10:44:15 GMT 2021","18218","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","privacyPolicyTest()",""
"broken","Wed Aug 18 10:47:54 GMT 2021","Wed Aug 18 10:48:36 GMT 2021","41913","","login.LoginTest","","login.LoginTest","successLogin","successLogin()",""
"broken","Wed Aug 18 10:46:24 GMT 2021","Wed Aug 18 10:47:30 GMT 2021","65914","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","delete()",""
"passed","Wed Aug 18 10:47:30 GMT 2021","Wed Aug 18 10:47:54 GMT 2021","24491","","datalist.DataListTest","","datalist.DataListTest","creatDataList","creatDataList()",""
"broken","Wed Aug 18 10:45:16 GMT 2021","Wed Aug 18 10:45:59 GMT 2021","42986","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","updateTest()",""
"broken","Wed Aug 18 10:48:36 GMT 2021","Wed Aug 18 10:48:56 GMT 2021","20426","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","multiPageListTest()",""
"broken","Wed Aug 18 10:45:59 GMT 2021","Wed Aug 18 10:46:24 GMT 2021","24910","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","successDataEntry()",""
"passed","Wed Aug 18 10:43:25 GMT 2021","Wed Aug 18 10:43:57 GMT 2021","32216","","logout.LogoutTest","","logout.LogoutTest","signoutTest","signoutTest()",""
"skipped","Wed Aug 18 10:48:36 GMT 2021","Wed Aug 18 10:48:36 GMT 2021","0","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","successfulRegistrationTest()",""
