"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 17:21:34 GMT 2021","Wed Aug 18 17:21:58 GMT 2021","23727","","datalist.DataListTest","","datalist.DataListTest","creatDataList","Tc4, Adatok listázása",""
"skipped","Wed Aug 18 17:22:38 GMT 2021","Wed Aug 18 17:22:38 GMT 2021","0","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","Tc1, Regisztráció",""
"passed","Wed Aug 18 17:22:38 GMT 2021","Wed Aug 18 17:23:18 GMT 2021","39581","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","Tc5, Több oldalas lista bejárása",""
"broken","Wed Aug 18 17:20:28 GMT 2021","Wed Aug 18 17:21:34 GMT 2021","66456","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","Tc6, Adat törlése",""
"passed","Wed Aug 18 17:18:05 GMT 2021","Wed Aug 18 17:18:26 GMT 2021","20293","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","Tc3, Adatkezelési nyilatkozat kezelése és adat lementése",""
"broken","Wed Aug 18 17:18:26 GMT 2021","Wed Aug 18 17:19:16 GMT 2021","50080","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","Tc7, Ismételt és sorozatos adatbevitel adatforrásból",""
"broken","Wed Aug 18 17:19:49 GMT 2021","Wed Aug 18 17:20:28 GMT 2021","38491","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","Tc6, Új adat bevitel",""
"passed","Wed Aug 18 17:21:58 GMT 2021","Wed Aug 18 17:22:38 GMT 2021","39792","","login.LoginTest","","login.LoginTest","successLogin","Tc2, Bejelentkezés",""
"broken","Wed Aug 18 17:19:16 GMT 2021","Wed Aug 18 17:19:49 GMT 2021","33739","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","Tc8, Meglévő adat módosítás",""
"passed","Wed Aug 18 17:17:14 GMT 2021","Wed Aug 18 17:18:05 GMT 2021","50995","","logout.LogoutTest","","logout.LogoutTest","signoutTest","Tc9, Kijelentkezés",""
