"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 17 12:32:54 GMT 2021","Tue Aug 17 12:32:55 GMT 2021","144","","datalist.DataListTest","","datalist.DataListTest","creatDataList","creatDataList()",""
"broken","Tue Aug 17 12:32:54 GMT 2021","Tue Aug 17 12:32:54 GMT 2021","173","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","repeatedDataInputTest()",""
"broken","Tue Aug 17 12:32:55 GMT 2021","Tue Aug 17 12:32:55 GMT 2021","143","","login.LoginTest","","login.LoginTest","successLogin","successLogin()",""
"broken","Tue Aug 17 12:32:54 GMT 2021","Tue Aug 17 12:32:54 GMT 2021","165","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","privacyPolicyTest()",""
"broken","Tue Aug 17 12:32:54 GMT 2021","Tue Aug 17 12:32:54 GMT 2021","165","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","updateTest()",""
"broken","Tue Aug 17 12:32:55 GMT 2021","Tue Aug 17 12:32:55 GMT 2021","140","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","multiPageListTest()",""
"broken","Tue Aug 17 12:32:54 GMT 2021","Tue Aug 17 12:32:54 GMT 2021","136","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","delete()",""
"broken","Tue Aug 17 12:32:51 GMT 2021","Tue Aug 17 12:32:53 GMT 2021","2295","","logout.LogoutTest","","logout.LogoutTest","signoutTest","signoutTest()",""
"broken","Tue Aug 17 12:32:54 GMT 2021","Tue Aug 17 12:32:54 GMT 2021","160","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","successDataEntry()",""
"broken","Tue Aug 17 12:32:55 GMT 2021","Tue Aug 17 12:32:55 GMT 2021","145","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","successfulRegistrationTest()",""
