"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 17:21:58 GMT 2021","Wed Aug 18 17:23:00 GMT 2021","61851","","logout.LogoutTest","","logout.LogoutTest","signoutTest","Tc9, Kijelentkezés",""
"broken","Wed Aug 18 17:24:05 GMT 2021","Wed Aug 18 17:24:44 GMT 2021","38879","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","Tc6, Új adat bevitel",""
"broken","Wed Aug 18 17:26:08 GMT 2021","Wed Aug 18 17:26:54 GMT 2021","45560","","login.LoginTest","","login.LoginTest","successLogin","Tc2, Bejelentkezés",""
"broken","Wed Aug 18 17:23:40 GMT 2021","Wed Aug 18 17:24:05 GMT 2021","25166","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","Tc8, Meglévő adat módosítás",""
"passed","Wed Aug 18 17:26:54 GMT 2021","Wed Aug 18 17:27:30 GMT 2021","36182","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","Tc5, Több oldalas lista bejárása",""
"broken","Wed Aug 18 17:24:44 GMT 2021","Wed Aug 18 17:25:43 GMT 2021","59420","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","Tc6, Adat törlése",""
"broken","Wed Aug 18 17:23:19 GMT 2021","Wed Aug 18 17:23:40 GMT 2021","20427","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","Tc7, Ismételt és sorozatos adatbevitel adatforrásból",""
"passed","Wed Aug 18 17:23:00 GMT 2021","Wed Aug 18 17:23:19 GMT 2021","19499","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","Tc3, Adatkezelési nyilatkozat kezelése és adat lementése",""
"skipped","Wed Aug 18 17:26:54 GMT 2021","Wed Aug 18 17:26:54 GMT 2021","0","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","Tc1, Regisztráció",""
"passed","Wed Aug 18 17:25:43 GMT 2021","Wed Aug 18 17:26:08 GMT 2021","24977","","datalist.DataListTest","","datalist.DataListTest","creatDataList","Tc4, Adatok listázása",""
