"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 11:44:56 GMT 2021","Sun Aug 08 11:45:03 GMT 2021","6823","","datalist.DataListTest","","datalist.DataListTest","creatDataList","creatDataList()",""
"broken","Sun Aug 08 11:44:23 GMT 2021","Sun Aug 08 11:44:56 GMT 2021","33175","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","successDataEntry()",""
"passed","Sun Aug 08 11:43:57 GMT 2021","Sun Aug 08 11:44:11 GMT 2021","13517","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","repeatedDataInputTest()",""
"passed","Sun Aug 08 11:43:50 GMT 2021","Sun Aug 08 11:43:57 GMT 2021","7041","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Sun Aug 08 11:45:03 GMT 2021","Sun Aug 08 11:45:08 GMT 2021","4685","","login.LoginTest","","login.LoginTest","successLogin","successLogin()",""
"passed","Sun Aug 08 11:44:11 GMT 2021","Sun Aug 08 11:44:23 GMT 2021","12601","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","updateTest()",""
"broken","Sun Aug 08 11:45:08 GMT 2021","Sun Aug 08 11:45:32 GMT 2021","23562","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","successfulRegistrationTest()",""
"broken","Sun Aug 08 11:43:17 GMT 2021","Sun Aug 08 11:43:38 GMT 2021","20661","","deletedata.DeleteDataTest","","deletedata.DeleteDataTest","deleteTest","deleteTest()",""
"passed","Sun Aug 08 11:45:32 GMT 2021","Sun Aug 08 11:45:42 GMT 2021","10282","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","multiPageListTest()",""
"passed","Sun Aug 08 11:43:38 GMT 2021","Sun Aug 08 11:43:44 GMT 2021","5623","","savetofile.SaveToFileTest","","savetofile.SaveToFileTest","saveTest","saveTest()",""
"passed","Sun Aug 08 11:43:44 GMT 2021","Sun Aug 08 11:43:50 GMT 2021","6462","","logout.LogoutTest","","logout.LogoutTest","signoutTest","signoutTest()",""
