"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 13:41:48 GMT 2021","Thu Aug 19 13:42:18 GMT 2021","29812","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","Tc5, Több oldalas lista bejárása",""
"skipped","Thu Aug 19 13:41:48 GMT 2021","Thu Aug 19 13:41:48 GMT 2021","1","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","Tc1, Regisztráció",""
"passed","Thu Aug 19 13:40:57 GMT 2021","Thu Aug 19 13:41:16 GMT 2021","19242","","datalist.DataListTest","","datalist.DataListTest","creatDataList","Tc4, Adatok listázása",""
"passed","Thu Aug 19 13:37:34 GMT 2021","Thu Aug 19 13:37:48 GMT 2021","13948","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","Tc3, Adatkezelési nyilatkozat kezelése és adat lementése",""
"passed","Thu Aug 19 13:41:16 GMT 2021","Thu Aug 19 13:41:48 GMT 2021","31922","","login.LoginTest","","login.LoginTest","successLogin","Tc2, Bejelentkezés",""
"broken","Thu Aug 19 13:39:31 GMT 2021","Thu Aug 19 13:39:56 GMT 2021","24437","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","Tc6, Új adat bevitel",""
"broken","Thu Aug 19 13:39:56 GMT 2021","Thu Aug 19 13:40:57 GMT 2021","61475","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","Tc6, Adat törlése",""
"passed","Thu Aug 19 13:37:48 GMT 2021","Thu Aug 19 13:38:36 GMT 2021","48866","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","Tc7, Ismételt és sorozatos adatbevitel adatforrásból",""
"passed","Thu Aug 19 13:38:36 GMT 2021","Thu Aug 19 13:39:31 GMT 2021","54826","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","Tc8, Meglévő adat módosítás",""
"passed","Thu Aug 19 13:36:44 GMT 2021","Thu Aug 19 13:37:33 GMT 2021","49419","","logout.LogoutTest","","logout.LogoutTest","signoutTest","Tc9, Kijelentkezés",""
