"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 12:46:27 GMT 2021","Tue Aug 17 12:46:51 GMT 2021","24394","","login.LoginTest","","login.LoginTest","successLogin","successLogin()",""
"passed","Tue Aug 17 12:44:02 GMT 2021","Tue Aug 17 12:44:18 GMT 2021","16826","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Tue Aug 17 12:45:38 GMT 2021","Tue Aug 17 12:46:02 GMT 2021","24001","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","delete()",""
"passed","Tue Aug 17 12:44:39 GMT 2021","Tue Aug 17 12:45:18 GMT 2021","38792","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","updateTest()",""
"passed","Tue Aug 17 12:47:29 GMT 2021","Tue Aug 17 12:48:05 GMT 2021","36590","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","multiPageListTest()",""
"passed","Tue Aug 17 12:43:14 GMT 2021","Tue Aug 17 12:44:02 GMT 2021","48067","","logout.LogoutTest","","logout.LogoutTest","signoutTest","signoutTest()",""
"broken","Tue Aug 17 12:44:19 GMT 2021","Tue Aug 17 12:44:39 GMT 2021","20528","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","repeatedDataInputTest()",""
"passed","Tue Aug 17 12:46:02 GMT 2021","Tue Aug 17 12:46:27 GMT 2021","24800","","datalist.DataListTest","","datalist.DataListTest","creatDataList","creatDataList()",""
"broken","Tue Aug 17 12:46:51 GMT 2021","Tue Aug 17 12:47:29 GMT 2021","37732","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","successfulRegistrationTest()",""
"passed","Tue Aug 17 12:45:18 GMT 2021","Tue Aug 17 12:45:38 GMT 2021","19791","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","successDataEntry()",""
