"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 08:33:30 GMT 2021","Wed Aug 18 08:33:50 GMT 2021","19819","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","delete()",""
"passed","Wed Aug 18 08:32:13 GMT 2021","Wed Aug 18 08:32:25 GMT 2021","12424","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Wed Aug 18 08:32:25 GMT 2021","Wed Aug 18 08:32:57 GMT 2021","31498","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","updateTest()",""
"passed","Wed Aug 18 08:32:57 GMT 2021","Wed Aug 18 08:33:30 GMT 2021","32975","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","successDataEntry()",""
"passed","Wed Aug 18 08:31:22 GMT 2021","Wed Aug 18 08:32:22 GMT 2021","60428","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","repeatedDataInputTest()",""
"passed","Wed Aug 18 08:33:50 GMT 2021","Wed Aug 18 08:33:56 GMT 2021","6125","","datalist.DataListTest","","datalist.DataListTest","creatDataList","creatDataList()",""
"passed","Wed Aug 18 08:33:56 GMT 2021","Wed Aug 18 08:34:11 GMT 2021","14916","","login.LoginTest","","login.LoginTest","successLogin","successLogin()",""
"passed","Wed Aug 18 08:31:22 GMT 2021","Wed Aug 18 08:32:13 GMT 2021","51014","","logout.LogoutTest","","logout.LogoutTest","signoutTest","signoutTest()",""
"broken","Wed Aug 18 08:34:11 GMT 2021","Wed Aug 18 08:34:43 GMT 2021","32610","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","successfulRegistrationTest()",""
"passed","Wed Aug 18 08:34:43 GMT 2021","Wed Aug 18 08:34:50 GMT 2021","6701","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","multiPageListTest()",""
