"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 13:18:59 GMT 2021","Thu Aug 19 13:19:21 GMT 2021","21951","","login.LoginTest","","login.LoginTest","successLogin","Tc2, Bejelentkezés",""
"passed","Thu Aug 19 13:18:36 GMT 2021","Thu Aug 19 13:18:59 GMT 2021","22171","","datalist.DataListTest","","datalist.DataListTest","creatDataList","Tc4, Adatok listázása",""
"passed","Thu Aug 19 13:19:21 GMT 2021","Thu Aug 19 13:19:54 GMT 2021","33838","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","Tc5, Több oldalas lista bejárása",""
"passed","Thu Aug 19 13:14:13 GMT 2021","Thu Aug 19 13:15:19 GMT 2021","66453","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","Tc7, Ismételt és sorozatos adatbevitel adatforrásból",""
"passed","Thu Aug 19 13:17:42 GMT 2021","Thu Aug 19 13:18:36 GMT 2021","53888","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","Tc6, Adat törlése",""
"broken","Thu Aug 19 13:16:30 GMT 2021","Thu Aug 19 13:17:42 GMT 2021","72743","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","Tc6, Új adat bevitel",""
"passed","Thu Aug 19 13:13:56 GMT 2021","Thu Aug 19 13:14:13 GMT 2021","16961","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","Tc3, Adatkezelési nyilatkozat kezelése és adat lementése",""
"broken","Thu Aug 19 13:13:24 GMT 2021","Thu Aug 19 13:13:56 GMT 2021","31897","","logout.LogoutTest","","logout.LogoutTest","signoutTest","Tc9, Kijelentkezés",""
"broken","Thu Aug 19 13:15:19 GMT 2021","Thu Aug 19 13:16:30 GMT 2021","70245","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","Tc8, Meglévő adat módosítás",""
"skipped","Thu Aug 19 13:19:21 GMT 2021","Thu Aug 19 13:19:21 GMT 2021","0","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","Tc1, Regisztráció",""
