"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 07:15:39 GMT 2021","Thu Aug 19 07:15:46 GMT 2021","7279","","login.LoginTest","","login.LoginTest","successLogin","Tc2, Bejelentkezés",""
"passed","Thu Aug 19 07:14:11 GMT 2021","Thu Aug 19 07:14:29 GMT 2021","17835","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","Tc8, Meglévő adat módosítás",""
"passed","Thu Aug 19 07:15:46 GMT 2021","Thu Aug 19 07:15:51 GMT 2021","4204","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","Tc5, Több oldalas lista bejárása",""
"broken","Thu Aug 19 07:14:29 GMT 2021","Thu Aug 19 07:15:07 GMT 2021","37574","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","Tc6, Új adat bevitel",""
"passed","Thu Aug 19 07:14:00 GMT 2021","Thu Aug 19 07:14:11 GMT 2021","11260","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","Tc7, Ismételt és sorozatos adatbevitel adatforrásból",""
"broken","Thu Aug 19 07:15:07 GMT 2021","Thu Aug 19 07:15:36 GMT 2021","29718","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","Tc6, Adat törlése",""
"passed","Thu Aug 19 07:13:57 GMT 2021","Thu Aug 19 07:14:00 GMT 2021","3015","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","Tc3, Adatkezelési nyilatkozat kezelése és adat lementése",""
"passed","Thu Aug 19 07:13:45 GMT 2021","Thu Aug 19 07:13:57 GMT 2021","11426","","logout.LogoutTest","","logout.LogoutTest","signoutTest","Tc9, Kijelentkezés",""
"skipped","Thu Aug 19 07:15:46 GMT 2021","Thu Aug 19 07:15:46 GMT 2021","0","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","Tc1, Regisztráció",""
"passed","Thu Aug 19 07:15:36 GMT 2021","Thu Aug 19 07:15:39 GMT 2021","2850","","datalist.DataListTest","","datalist.DataListTest","creatDataList","Tc4, Adatok listázása",""
