"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 11:02:57 GMT 2021","Wed Aug 18 11:03:23 GMT 2021","25971","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","delete()",""
"passed","Wed Aug 18 11:01:35 GMT 2021","Wed Aug 18 11:02:14 GMT 2021","38905","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","updateTest()",""
"passed","Wed Aug 18 11:03:23 GMT 2021","Wed Aug 18 11:03:33 GMT 2021","9225","","datalist.DataListTest","","datalist.DataListTest","creatDataList","creatDataList()",""
"passed","Wed Aug 18 11:03:44 GMT 2021","Wed Aug 18 11:04:12 GMT 2021","28566","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","multiPageListTest()",""
"skipped","Wed Aug 18 11:00:46 GMT 2021","Wed Aug 18 11:00:46 GMT 2021","0","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","successfulRegistrationTest()",""
"passed","Wed Aug 18 11:00:46 GMT 2021","Wed Aug 18 11:01:35 GMT 2021","49385","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","repeatedDataInputTest()",""
"broken","Wed Aug 18 11:02:14 GMT 2021","Wed Aug 18 11:02:57 GMT 2021","43225","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","successDataEntry()",""
"broken","Wed Aug 18 11:00:23 GMT 2021","Wed Aug 18 11:00:46 GMT 2021","22301","","logout.LogoutTest","","logout.LogoutTest","signoutTest","signoutTest()",""
"passed","Wed Aug 18 11:03:33 GMT 2021","Wed Aug 18 11:03:44 GMT 2021","11137","","login.LoginTest","","login.LoginTest","successLogin","successLogin()",""
"broken","Wed Aug 18 11:00:23 GMT 2021","Wed Aug 18 11:00:46 GMT 2021","22223","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","privacyPolicyTest()",""
