"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 10:55:40 GMT 2021","Sun Aug 08 10:56:08 GMT 2021","27955","","logout.LogoutTest","","logout.LogoutTest","signoutTest","signoutTest()",""
"passed","Sun Aug 08 10:58:29 GMT 2021","Sun Aug 08 10:58:43 GMT 2021","14325","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","multiPageListTest()",""
"passed","Sun Aug 08 10:57:57 GMT 2021","Sun Aug 08 10:58:04 GMT 2021","6941","","login.LoginTest","","login.LoginTest","successLogin","successLogin()",""
"passed","Sun Aug 08 10:56:08 GMT 2021","Sun Aug 08 10:56:31 GMT 2021","22538","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Sun Aug 08 10:55:15 GMT 2021","Sun Aug 08 10:55:40 GMT 2021","24678","","savetofile.SaveToFileTest","","savetofile.SaveToFileTest","saveTest","saveTest()",""
"failed","Sun Aug 08 10:56:00 GMT 2021","Sun Aug 08 10:56:40 GMT 2021","40108","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","repeatedDataInputTest()",""
"broken","Sun Aug 08 10:56:40 GMT 2021","Sun Aug 08 10:57:34 GMT 2021","53957","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","successDataEntry()",""
"broken","Sun Aug 08 10:58:04 GMT 2021","Sun Aug 08 10:58:29 GMT 2021","25060","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","successfulRegistrationTest()",""
"passed","Sun Aug 08 10:57:34 GMT 2021","Sun Aug 08 10:57:57 GMT 2021","22534","","datalist.DataListTest","","datalist.DataListTest","creatDataList","creatDataList()",""
"broken","Sun Aug 08 10:55:15 GMT 2021","Sun Aug 08 10:56:00 GMT 2021","44798","","deletedata.DeleteDataTest","","deletedata.DeleteDataTest","deleteTest","deleteTest()",""
"passed","Sun Aug 08 10:56:31 GMT 2021","Sun Aug 08 10:57:07 GMT 2021","36883","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","updateTest()",""
