"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 08:26:17 GMT 2021","Wed Aug 18 08:26:24 GMT 2021","6632","","datalist.DataListTest","","datalist.DataListTest","creatDataList","creatDataList()",""
"passed","Wed Aug 18 08:25:24 GMT 2021","Wed Aug 18 08:25:40 GMT 2021","15537","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","repeatedDataInputTest()",""
"passed","Wed Aug 18 08:25:40 GMT 2021","Wed Aug 18 08:25:51 GMT 2021","11127","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","updateTest()",""
"passed","Wed Aug 18 08:25:51 GMT 2021","Wed Aug 18 08:26:06 GMT 2021","14911","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","successDataEntry()",""
"broken","Wed Aug 18 08:26:36 GMT 2021","Wed Aug 18 08:27:02 GMT 2021","26373","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","successfulRegistrationTest()",""
"passed","Wed Aug 18 08:25:20 GMT 2021","Wed Aug 18 08:25:24 GMT 2021","4224","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Wed Aug 18 08:25:10 GMT 2021","Wed Aug 18 08:25:20 GMT 2021","10332","","logout.LogoutTest","","logout.LogoutTest","signoutTest","signoutTest()",""
"passed","Wed Aug 18 08:26:24 GMT 2021","Wed Aug 18 08:26:36 GMT 2021","12266","","login.LoginTest","","login.LoginTest","successLogin","successLogin()",""
"passed","Wed Aug 18 08:26:06 GMT 2021","Wed Aug 18 08:26:17 GMT 2021","10921","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","delete()",""
"passed","Wed Aug 18 08:27:02 GMT 2021","Wed Aug 18 08:27:10 GMT 2021","7449","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","multiPageListTest()",""
