"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 08 10:59:59 GMT 2021","Sun Aug 08 11:00:29 GMT 2021","30465","","deletedata.DeleteDataTest","","deletedata.DeleteDataTest","deleteTest","deleteTest()",""
"passed","Sun Aug 08 11:02:15 GMT 2021","Sun Aug 08 11:02:33 GMT 2021","17926","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","updateTest()",""
"broken","Sun Aug 08 11:02:33 GMT 2021","Sun Aug 08 11:03:08 GMT 2021","35747","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","successDataEntry()",""
"passed","Sun Aug 08 11:04:09 GMT 2021","Sun Aug 08 11:04:22 GMT 2021","12502","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","multiPageListTest()",""
"failed","Sun Aug 08 11:01:40 GMT 2021","Sun Aug 08 11:02:15 GMT 2021","35181","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","repeatedDataInputTest()",""
"passed","Sun Aug 08 11:03:25 GMT 2021","Sun Aug 08 11:03:42 GMT 2021","16667","","login.LoginTest","","login.LoginTest","successLogin","successLogin()",""
"broken","Sun Aug 08 11:03:42 GMT 2021","Sun Aug 08 11:04:09 GMT 2021","27864","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","successfulRegistrationTest()",""
"passed","Sun Aug 08 11:00:43 GMT 2021","Sun Aug 08 11:01:14 GMT 2021","30723","","logout.LogoutTest","","logout.LogoutTest","signoutTest","signoutTest()",""
"passed","Sun Aug 08 11:01:14 GMT 2021","Sun Aug 08 11:01:40 GMT 2021","25621","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Sun Aug 08 11:00:30 GMT 2021","Sun Aug 08 11:00:43 GMT 2021","13647","","savetofile.SaveToFileTest","","savetofile.SaveToFileTest","saveTest","saveTest()",""
"passed","Sun Aug 08 11:03:08 GMT 2021","Sun Aug 08 11:03:25 GMT 2021","16421","","datalist.DataListTest","","datalist.DataListTest","creatDataList","creatDataList()",""
