"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 08:21:07 GMT 2021","Wed Aug 18 08:21:33 GMT 2021","26052","","logout.LogoutTest","","logout.LogoutTest","signoutTest","signoutTest()",""
"passed","Wed Aug 18 08:21:44 GMT 2021","Wed Aug 18 08:22:29 GMT 2021","45027","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","repeatedDataInputTest()",""
"broken","Wed Aug 18 08:23:01 GMT 2021","Wed Aug 18 08:23:59 GMT 2021","58274","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","successDataEntry()",""
"broken","Wed Aug 18 08:23:59 GMT 2021","Wed Aug 18 08:24:31 GMT 2021","31694","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","delete()",""
"passed","Wed Aug 18 08:22:29 GMT 2021","Wed Aug 18 08:23:01 GMT 2021","31581","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","updateTest()",""
"passed","Wed Aug 18 08:24:45 GMT 2021","Wed Aug 18 08:24:56 GMT 2021","10626","","login.LoginTest","","login.LoginTest","successLogin","successLogin()",""
"passed","Wed Aug 18 08:25:24 GMT 2021","Wed Aug 18 08:25:35 GMT 2021","11136","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","multiPageListTest()",""
"passed","Wed Aug 18 08:24:31 GMT 2021","Wed Aug 18 08:24:45 GMT 2021","14188","","datalist.DataListTest","","datalist.DataListTest","creatDataList","creatDataList()",""
"broken","Wed Aug 18 08:24:56 GMT 2021","Wed Aug 18 08:25:24 GMT 2021","28099","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","successfulRegistrationTest()",""
"passed","Wed Aug 18 08:21:34 GMT 2021","Wed Aug 18 08:21:44 GMT 2021","10840","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","privacyPolicyTest()",""
