"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 07:10:50 GMT 2021","Thu Aug 19 07:11:36 GMT 2021","45347","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","Tc6, Új adat bevitel",""
"passed","Thu Aug 19 07:12:05 GMT 2021","Thu Aug 19 07:12:12 GMT 2021","6750","","login.LoginTest","","login.LoginTest","successLogin","Tc2, Bejelentkezés",""
"passed","Thu Aug 19 07:11:36 GMT 2021","Thu Aug 19 07:12:02 GMT 2021","25876","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","Tc6, Adat törlése",""
"passed","Thu Aug 19 07:09:33 GMT 2021","Thu Aug 19 07:10:11 GMT 2021","38126","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","Tc7, Ismételt és sorozatos adatbevitel adatforrásból",""
"passed","Thu Aug 19 07:12:12 GMT 2021","Thu Aug 19 07:12:35 GMT 2021","23703","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","Tc5, Több oldalas lista bejárása",""
"skipped","Thu Aug 19 07:12:12 GMT 2021","Thu Aug 19 07:12:12 GMT 2021","0","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","Tc1, Regisztráció",""
"passed","Thu Aug 19 07:09:02 GMT 2021","Thu Aug 19 07:09:22 GMT 2021","19864","","logout.LogoutTest","","logout.LogoutTest","signoutTest","Tc9, Kijelentkezés",""
"passed","Thu Aug 19 07:12:02 GMT 2021","Thu Aug 19 07:12:05 GMT 2021","3259","","datalist.DataListTest","","datalist.DataListTest","creatDataList","Tc4, Adatok listázása",""
"passed","Thu Aug 19 07:09:22 GMT 2021","Thu Aug 19 07:09:33 GMT 2021","11487","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","Tc3, Adatkezelési nyilatkozat kezelése és adat lementése",""
"passed","Thu Aug 19 07:10:11 GMT 2021","Thu Aug 19 07:10:50 GMT 2021","39091","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","Tc8, Meglévő adat módosítás",""
