"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 10:58:13 GMT 2021","Wed Aug 18 10:58:38 GMT 2021","25214","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","delete()",""
"broken","Wed Aug 18 10:56:13 GMT 2021","Wed Aug 18 10:56:45 GMT 2021","31763","","logout.LogoutTest","","logout.LogoutTest","signoutTest","signoutTest()",""
"skipped","Wed Aug 18 10:59:19 GMT 2021","Wed Aug 18 10:59:19 GMT 2021","0","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","successfulRegistrationTest()",""
"broken","Wed Aug 18 10:57:31 GMT 2021","Wed Aug 18 10:57:52 GMT 2021","20607","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","updateTest()",""
"broken","Wed Aug 18 10:57:52 GMT 2021","Wed Aug 18 10:58:13 GMT 2021","20588","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","successDataEntry()",""
"broken","Wed Aug 18 10:58:59 GMT 2021","Wed Aug 18 10:59:19 GMT 2021","20534","","login.LoginTest","","login.LoginTest","successLogin","successLogin()",""
"broken","Wed Aug 18 10:59:19 GMT 2021","Wed Aug 18 10:59:40 GMT 2021","20549","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","multiPageListTest()",""
"broken","Wed Aug 18 10:57:11 GMT 2021","Wed Aug 18 10:57:31 GMT 2021","20544","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","repeatedDataInputTest()",""
"broken","Wed Aug 18 10:56:45 GMT 2021","Wed Aug 18 10:57:11 GMT 2021","25642","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","privacyPolicyTest()",""
"broken","Wed Aug 18 10:58:38 GMT 2021","Wed Aug 18 10:58:58 GMT 2021","20572","","datalist.DataListTest","","datalist.DataListTest","creatDataList","creatDataList()",""
