"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 17 12:33:09 GMT 2021","Tue Aug 17 12:33:09 GMT 2021","156","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","successfulRegistrationTest()",""
"broken","Tue Aug 17 12:33:08 GMT 2021","Tue Aug 17 12:33:08 GMT 2021","156","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","privacyPolicyTest()",""
"broken","Tue Aug 17 12:33:09 GMT 2021","Tue Aug 17 12:33:09 GMT 2021","147","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","delete()",""
"broken","Tue Aug 17 12:33:09 GMT 2021","Tue Aug 17 12:33:09 GMT 2021","153","","login.LoginTest","","login.LoginTest","successLogin","successLogin()",""
"broken","Tue Aug 17 12:33:07 GMT 2021","Tue Aug 17 12:33:08 GMT 2021","632","","logout.LogoutTest","","logout.LogoutTest","signoutTest","signoutTest()",""
"broken","Tue Aug 17 12:33:09 GMT 2021","Tue Aug 17 12:33:09 GMT 2021","149","","datalist.DataListTest","","datalist.DataListTest","creatDataList","creatDataList()",""
"broken","Tue Aug 17 12:33:09 GMT 2021","Tue Aug 17 12:33:09 GMT 2021","167","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","successDataEntry()",""
"broken","Tue Aug 17 12:33:09 GMT 2021","Tue Aug 17 12:33:10 GMT 2021","165","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","multiPageListTest()",""
"broken","Tue Aug 17 12:33:08 GMT 2021","Tue Aug 17 12:33:08 GMT 2021","163","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","repeatedDataInputTest()",""
"broken","Tue Aug 17 12:33:08 GMT 2021","Tue Aug 17 12:33:09 GMT 2021","161","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","updateTest()",""
