"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 11:32:31 GMT 2021","Wed Aug 18 11:33:09 GMT 2021","38151","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","successDataEntry()",""
"skipped","Wed Aug 18 11:34:44 GMT 2021","Wed Aug 18 11:34:44 GMT 2021","0","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","successfulRegistrationTest()",""
"passed","Wed Aug 18 11:34:44 GMT 2021","Wed Aug 18 11:35:20 GMT 2021","36438","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","multiPageListTest()",""
"passed","Wed Aug 18 11:29:54 GMT 2021","Wed Aug 18 11:30:59 GMT 2021","65323","","logout.LogoutTest","","logout.LogoutTest","signoutTest","signoutTest()",""
"broken","Wed Aug 18 11:31:20 GMT 2021","Wed Aug 18 11:32:10 GMT 2021","49845","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","repeatedDataInputTest()",""
"passed","Wed Aug 18 11:30:59 GMT 2021","Wed Aug 18 11:31:20 GMT 2021","21025","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","privacyPolicyTest()",""
"broken","Wed Aug 18 11:32:10 GMT 2021","Wed Aug 18 11:32:31 GMT 2021","20565","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","updateTest()",""
"broken","Wed Aug 18 11:33:09 GMT 2021","Wed Aug 18 11:33:52 GMT 2021","43256","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","delete()",""
"passed","Wed Aug 18 11:34:15 GMT 2021","Wed Aug 18 11:34:44 GMT 2021","29159","","login.LoginTest","","login.LoginTest","successLogin","successLogin()",""
"passed","Wed Aug 18 11:33:52 GMT 2021","Wed Aug 18 11:34:15 GMT 2021","22358","","datalist.DataListTest","","datalist.DataListTest","creatDataList","creatDataList()",""
