"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 13:33:09 GMT 2021","Thu Aug 19 13:33:34 GMT 2021","25198","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","Tc6, Adat törlése",""
"broken","Thu Aug 19 13:34:15 GMT 2021","Thu Aug 19 13:34:40 GMT 2021","25298","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","Tc5, Több oldalas lista bejárása",""
"passed","Thu Aug 19 13:30:25 GMT 2021","Thu Aug 19 13:30:46 GMT 2021","20813","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","Tc3, Adatkezelési nyilatkozat kezelése és adat lementése",""
"broken","Thu Aug 19 13:33:55 GMT 2021","Thu Aug 19 13:34:15 GMT 2021","20428","","login.LoginTest","","login.LoginTest","successLogin","Tc2, Bejelentkezés",""
"broken","Thu Aug 19 13:33:34 GMT 2021","Thu Aug 19 13:33:55 GMT 2021","20448","","datalist.DataListTest","","datalist.DataListTest","creatDataList","Tc4, Adatok listázása",""
"skipped","Thu Aug 19 13:34:15 GMT 2021","Thu Aug 19 13:34:15 GMT 2021","0","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","Tc1, Regisztráció",""
"broken","Thu Aug 19 13:31:54 GMT 2021","Thu Aug 19 13:32:31 GMT 2021","37648","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","Tc8, Meglévő adat módosítás",""
"broken","Thu Aug 19 13:32:32 GMT 2021","Thu Aug 19 13:33:09 GMT 2021","37517","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","Tc6, Új adat bevitel",""
"passed","Thu Aug 19 13:29:29 GMT 2021","Thu Aug 19 13:30:25 GMT 2021","55660","","logout.LogoutTest","","logout.LogoutTest","signoutTest","Tc9, Kijelentkezés",""
"passed","Thu Aug 19 13:30:46 GMT 2021","Thu Aug 19 13:31:54 GMT 2021","68075","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","Tc7, Ismételt és sorozatos adatbevitel adatforrásból",""
