"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 10:30:42 GMT 2021","Wed Aug 18 10:31:32 GMT 2021","49500","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","updateTest()",""
"passed","Wed Aug 18 10:29:47 GMT 2021","Wed Aug 18 10:30:42 GMT 2021","55368","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","repeatedDataInputTest()",""
"broken","Wed Aug 18 10:32:08 GMT 2021","Wed Aug 18 10:33:07 GMT 2021","59746","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","delete()",""
"passed","Wed Aug 18 10:29:28 GMT 2021","Wed Aug 18 10:29:47 GMT 2021","18355","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Wed Aug 18 10:33:07 GMT 2021","Wed Aug 18 10:33:31 GMT 2021","23610","","datalist.DataListTest","","datalist.DataListTest","creatDataList","creatDataList()",""
"passed","Wed Aug 18 10:28:46 GMT 2021","Wed Aug 18 10:29:28 GMT 2021","42728","","logout.LogoutTest","","logout.LogoutTest","signoutTest","signoutTest()",""
"broken","Wed Aug 18 10:31:32 GMT 2021","Wed Aug 18 10:32:08 GMT 2021","35850","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","successDataEntry()",""
"broken","Wed Aug 18 10:34:01 GMT 2021","Wed Aug 18 10:34:26 GMT 2021","25133","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","multiPageListTest()",""
"broken","Wed Aug 18 10:33:31 GMT 2021","Wed Aug 18 10:34:01 GMT 2021","30070","","login.LoginTest","","login.LoginTest","successLogin","successLogin()",""
"skipped","Wed Aug 18 10:34:01 GMT 2021","Wed Aug 18 10:34:01 GMT 2021","0","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","successfulRegistrationTest()",""
