"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 19 13:13:22 GMT 2021","Thu Aug 19 13:14:04 GMT 2021","41913","","logout.LogoutTest","","logout.LogoutTest","signoutTest","Tc9, Kijelentkezés",""
"broken","Thu Aug 19 13:16:55 GMT 2021","Thu Aug 19 13:17:15 GMT 2021","20456","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","Tc6, Adat törlése",""
"broken","Thu Aug 19 13:16:07 GMT 2021","Thu Aug 19 13:16:54 GMT 2021","47429","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","Tc6, Új adat bevitel",""
"passed","Thu Aug 19 13:17:43 GMT 2021","Thu Aug 19 13:18:20 GMT 2021","36601","","login.LoginTest","","login.LoginTest","successLogin","Tc2, Bejelentkezés",""
"passed","Thu Aug 19 13:17:15 GMT 2021","Thu Aug 19 13:17:43 GMT 2021","28088","","datalist.DataListTest","","datalist.DataListTest","creatDataList","Tc4, Adatok listázása",""
"passed","Thu Aug 19 13:18:20 GMT 2021","Thu Aug 19 13:18:52 GMT 2021","32022","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","Tc5, Több oldalas lista bejárása",""
"passed","Thu Aug 19 13:14:22 GMT 2021","Thu Aug 19 13:15:30 GMT 2021","67972","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","Tc7, Ismételt és sorozatos adatbevitel adatforrásból",""
"broken","Thu Aug 19 13:15:30 GMT 2021","Thu Aug 19 13:16:07 GMT 2021","36879","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","Tc8, Meglévő adat módosítás",""
"skipped","Thu Aug 19 13:18:20 GMT 2021","Thu Aug 19 13:18:20 GMT 2021","0","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","Tc1, Regisztráció",""
"passed","Thu Aug 19 13:14:04 GMT 2021","Thu Aug 19 13:14:22 GMT 2021","18550","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","Tc3, Adatkezelési nyilatkozat kezelése és adat lementése",""
