"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 07:23:03 GMT 2021","Thu Aug 19 07:23:58 GMT 2021","55241","","logout.LogoutTest","","logout.LogoutTest","signoutTest","Tc9, Kijelentkezés",""
"passed","Thu Aug 19 07:26:45 GMT 2021","Thu Aug 19 07:27:19 GMT 2021","34417","","login.LoginTest","","login.LoginTest","successLogin","Tc2, Bejelentkezés",""
"passed","Thu Aug 19 07:23:58 GMT 2021","Thu Aug 19 07:24:19 GMT 2021","20539","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","Tc3, Adatkezelési nyilatkozat kezelése és adat lementése",""
"broken","Thu Aug 19 07:24:44 GMT 2021","Thu Aug 19 07:25:09 GMT 2021","25352","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","Tc8, Meglévő adat módosítás",""
"skipped","Thu Aug 19 07:27:19 GMT 2021","Thu Aug 19 07:27:19 GMT 2021","0","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","Tc1, Regisztráció",""
"broken","Thu Aug 19 07:26:20 GMT 2021","Thu Aug 19 07:26:45 GMT 2021","25037","","datalist.DataListTest","","datalist.DataListTest","creatDataList","Tc4, Adatok listázása",""
"broken","Thu Aug 19 07:24:19 GMT 2021","Thu Aug 19 07:24:44 GMT 2021","25283","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","Tc7, Ismételt és sorozatos adatbevitel adatforrásból",""
"broken","Thu Aug 19 07:25:54 GMT 2021","Thu Aug 19 07:26:20 GMT 2021","25263","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","Tc6, Adat törlése",""
"broken","Thu Aug 19 07:27:19 GMT 2021","Thu Aug 19 07:27:39 GMT 2021","20448","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","Tc5, Több oldalas lista bejárása",""
"broken","Thu Aug 19 07:25:09 GMT 2021","Thu Aug 19 07:25:54 GMT 2021","44886","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","Tc6, Új adat bevitel",""
