"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 18:03:28 GMT 2021","Sun Aug 08 18:04:12 GMT 2021","43874","","deletedata.DeleteDataTest","","deletedata.DeleteDataTest","deleteTest","deleteTest()",""
"passed","Sun Aug 08 18:05:28 GMT 2021","Sun Aug 08 18:05:54 GMT 2021","25584","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","privacyPolicyTest()",""
"passed","Sun Aug 08 18:06:34 GMT 2021","Sun Aug 08 18:07:05 GMT 2021","30777","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","updateTest()",""
"broken","Sun Aug 08 18:08:26 GMT 2021","Sun Aug 08 18:08:52 GMT 2021","26482","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","successfulRegistrationTest()",""
"passed","Sun Aug 08 18:08:52 GMT 2021","Sun Aug 08 18:09:06 GMT 2021","13823","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","multiPageListTest()",""
"passed","Sun Aug 08 18:07:54 GMT 2021","Sun Aug 08 18:08:12 GMT 2021","17658","","datalist.DataListTest","","datalist.DataListTest","creatDataList","creatDataList()",""
"broken","Sun Aug 08 18:07:05 GMT 2021","Sun Aug 08 18:07:54 GMT 2021","49406","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","successDataEntry()",""
"passed","Sun Aug 08 18:05:54 GMT 2021","Sun Aug 08 18:06:34 GMT 2021","40319","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","repeatedDataInputTest()",""
"passed","Sun Aug 08 18:08:12 GMT 2021","Sun Aug 08 18:08:26 GMT 2021","13855","","login.LoginTest","","login.LoginTest","successLogin","successLogin()",""
"passed","Sun Aug 08 18:04:12 GMT 2021","Sun Aug 08 18:04:48 GMT 2021","35455","","savetofile.SaveToFileTest","","savetofile.SaveToFileTest","saveTest","saveTest()",""
"passed","Sun Aug 08 18:04:48 GMT 2021","Sun Aug 08 18:05:28 GMT 2021","40396","","logout.LogoutTest","","logout.LogoutTest","signoutTest","signoutTest()",""
