"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 06:15:12 GMT 2021","Thu Aug 19 06:15:15 GMT 2021","3196","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","privacyPolicyTest","Tc3, Adatkezelési nyilatkozat kezelése és adat lementése",""
"passed","Thu Aug 19 06:15:25 GMT 2021","Thu Aug 19 06:15:35 GMT 2021","9760","","udateaddress.UpdateAddressTest","","udateaddress.UpdateAddressTest","updateTest","Tc8, Meglévő adat módosítás",""
"passed","Thu Aug 19 06:15:59 GMT 2021","Thu Aug 19 06:16:03 GMT 2021","4485","","multipagelist.MultiPageListTest","","multipagelist.MultiPageListTest","multiPageListTest","Tc5, Több oldalas lista bejárása",""
"passed","Thu Aug 19 06:15:54 GMT 2021","Thu Aug 19 06:15:59 GMT 2021","4697","","login.LoginTest","","login.LoginTest","successLogin","Tc2, Bejelentkezés",""
"passed","Thu Aug 19 06:15:45 GMT 2021","Thu Aug 19 06:15:51 GMT 2021","5950","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","delete","Tc6, Adat törlése",""
"passed","Thu Aug 19 06:15:15 GMT 2021","Thu Aug 19 06:15:25 GMT 2021","9906","","repeateddatainput.RepeatedDataInputTest","","repeateddatainput.RepeatedDataInputTest","repeatedDataInputTest","Tc7, Ismételt és sorozatos adatbevitel adatforrásból",""
"skipped","Thu Aug 19 06:15:59 GMT 2021","Thu Aug 19 06:15:59 GMT 2021","0","","registration.RegistrationTest","","registration.RegistrationTest","successfulRegistrationTest","Tc1, Regisztráció",""
"passed","Thu Aug 19 06:15:03 GMT 2021","Thu Aug 19 06:15:12 GMT 2021","9359","","logout.LogoutTest","","logout.LogoutTest","signoutTest","Tc9, Kijelentkezés",""
"passed","Thu Aug 19 06:15:51 GMT 2021","Thu Aug 19 06:15:54 GMT 2021","3259","","datalist.DataListTest","","datalist.DataListTest","creatDataList","Tc4, Adatok listázása",""
"passed","Thu Aug 19 06:15:35 GMT 2021","Thu Aug 19 06:15:45 GMT 2021","9880","","newdatainput.NewDataInputTest","","newdatainput.NewDataInputTest","successDataEntry","Tc6, Új adat bevitel",""
